# Comment out songs you don't want downloaded
# Download with downloadSongList.py

# Don't change the song ID.
# Changing any other metadata isn't going to change the ID3 info of the tag.
SongID: 22470450 ;; Name: Frank Sinatra ;; ArtistName: CAKE ;; AlbumName: Fashion Nugget [Clean] ;; AlbumID: 253220 ;; ArtistID: 405212 ;; TrackNum: 1
SongID: 538399 ;; Name: New Orleans Is Sinking ;; ArtistName: Tragically Hip ;; AlbumName: Up To Here ;; AlbumID: 262619 ;; ArtistID: 36565 ;; TrackNum: None
SongID: 1334776 ;; Name: Little Bones ;; ArtistName: The Tragically Hip ;; AlbumName: Road Apples ;; AlbumID: 262623 ;; ArtistID: 7086 ;; TrackNum: 1
SongID: 24578199 ;; Name: Naveed ;; ArtistName: Our Lady Peace ;; AlbumName: Naveed ;; AlbumID: 156759 ;; ArtistID: 679 ;; TrackNum: 5
SongID: 4607589 ;; Name: Stereo ;; ArtistName: Watchmen, The ;; AlbumName: Silent Radar ;; AlbumID: 243953 ;; ArtistID: 274200 ;; TrackNum: 1
SongID: 4607580 ;; Name: Wiser ;; ArtistName: Watchmen, The ;; AlbumName: In The Trees ;; AlbumID: 271771 ;; ArtistID: 274200 ;; TrackNum: 4
SongID: 14466474 ;; Name: Hyacinth House ;; ArtistName: The Doors ;; AlbumName: L.A. Woman ;; AlbumID: 1328183 ;; ArtistID: 2428 ;; TrackNum: 7
SongID: 574613 ;; Name: Fly Like An Eagle ;; ArtistName: Steve Miller Band ;; AlbumName: Young Hearts: Complete Greatest Hits ;; AlbumID: 183803 ;; ArtistID: 2398 ;; TrackNum: 8
SongID: 24436125 ;; Name: Skinny Love ;; ArtistName: Bon Iver ;; AlbumName: For Emma, Forever Ago ;; AlbumID: 683840 ;; ArtistID: 220454 ;; TrackNum: 3
SongID: 37248 ;; Name: All Caps ;; ArtistName: Madvillain ;; AlbumName: Madvillainy ;; AlbumID: 130801 ;; ArtistID: 18525 ;; TrackNum: 20
SongID: 23014383 ;; Name: Home ;; ArtistName: Edward Sharpe & The Magnetic Zeros ;; AlbumName: Up from Below (Bonus Track Version) ;; AlbumID: 3386841 ;; ArtistID: 1163185 ;; TrackNum: 6
SongID: 4043397 ;; Name: Hits From The Bong ;; ArtistName: Cypress Hill ;; AlbumName: Cypress Hill - Black Sunday ;; AlbumID: 752338 ;; ArtistID: 918 ;; TrackNum: None
SongID: 7592425 ;; Name: Nature's Revenge ;; ArtistName: Skinny Puppy ;; AlbumName: Too Dark Park ;; AlbumID: 380812 ;; ArtistID: 12462 ;; TrackNum: 0
SongID: 16789463 ;; Name: When the Night Feels My Song ;; ArtistName: Bedouin Soundclash ;; AlbumName: Sounding a Mosaic ;; AlbumID: 1319194 ;; ArtistID: 439029 ;; TrackNum: 1
SongID: 13298854 ;; Name: No One Knows ;; ArtistName: Queens of the Stone Age ;; AlbumName: Songs For The Deaf ;; AlbumID: 126321 ;; ArtistID: 401699 ;; TrackNum: 0
SongID: 933866 ;; Name: Cutsman ;; ArtistName: Horse The Band ;; AlbumName: R Borlax ;; AlbumID: 129156 ;; ArtistID: 4446 ;; TrackNum: 2
SongID: 59467 ;; Name: Alarm Call ;; ArtistName: Björk ;; AlbumName: Homogenic ;; AlbumID: 145153 ;; ArtistID: 5149 ;; TrackNum: 8
SongID: 7640535 ;; Name: Arrested in Shanghai ;; ArtistName: Rancid ;; AlbumName: Indestructible ;; AlbumID: 108723 ;; ArtistID: 1358 ;; TrackNum: 8
SongID: 23075062 ;; Name: Benson Hedges ;; ArtistName: fun. ;; AlbumName: Aim and Ignite ;; AlbumID: 4520721 ;; ArtistID: 1163453 ;; TrackNum: 2
SongID: 7151361 ;; Name: High and Dry ;; ArtistName: Radiohead ;; AlbumName: The Best of Radiohead ;; AlbumID: 2844218 ;; ArtistID: 15 ;; TrackNum: 6
